State,Frequency
UTTAR PRADESH,49397
PUNJAB,36718
ODISHA,16791
WEST BENGAL,14839
CHHATTISGARH,13006
TELANGANA,11971
HARYANA,11405
TAMILNADU,10696
MADHYA PRADESH,9784
ANDHRA PRADESH,8137
BIHAR,5337
RAJASTHAN,1330
JHARKAND,1238
GUJARAT,955
MAHARASHTRA,902
KARNATAKA,861
UTTARAKHAND,706
ASSAM,659
JAMMU AND KASHMIR,460
HIMACHAL PRADESH,449
DELHI,247
KERALA,192
PUDUCHERRY,118
TRIPURA,115
MANIPUR,45
SIKKIM,11
NAGALAND,7
MEGHALAYA,4
ARUNACHAL PRADESH,2
GOA,2
CHANDIGARH,2
A AND N ISLANDS,1
DAMAN AND DIU,0
MIZORAM,0
DADRA AND NAGAR HAVELI,0
LAKSHADWEEP,0
