State,Frequency
MAHARASHTRA,21484
HARYANA,16389
GUJARAT,14401
RAJASTHAN,10760
TELANGANA,7983
PUNJAB,7800
ANDHRA PRADESH,5041
KARNATAKA,2400
MADHYA PRADESH,2213
TAMILNADU,1725
ODISHA,656
UTTAR PRADESH,365
DELHI,46
PUDUCHERRY,24
CHHATTISGARH,23
HIMACHAL PRADESH,5
WEST BENGAL,2
BIHAR,2
A AND N ISLANDS,2
ASSAM,1
UTTARAKHAND,0
JHARKAND,0
NAGALAND,0
ARUNACHAL PRADESH,0
DAMAN AND DIU,0
KERALA,0
JAMMU AND KASHMIR,0
TRIPURA,0
MANIPUR,0
SIKKIM,0
MIZORAM,0
GOA,0
CHANDIGARH,0
MEGHALAYA,0
DADRA AND NAGAR HAVELI,0
LAKSHADWEEP,0
